area_code,area_name,total_persons,n_very_good,n_good,n_fair,n_bad,n_very_bad,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,n_bad_or_very_bad,pct_bad_or_very_bad
E09000029,Sutton,190146,92668,67563,22127,6072,1716,48.7,35.5,11.6,3.2,0.9,7788,4.1000000000000005
E09000031,Waltham Forest,258249,121652,91954,31133,10053,3457,47.1,35.6,12.1,3.9,1.3,13510,5.2
E06000036,Bracknell Forest UA,113205,59320,38814,11394,2859,818,52.4,34.3,10.1,2.5,0.7,3677,3.2
E06000043,Brighton and Hove UA,273369,134673,91970,32298,11151,3277,49.3,33.6,11.8,4.1,1.2,14428,5.3
E06000046,Isle of Wight UA,138265,56420,50514,22378,6921,2032,40.8,36.5,16.2,5.0,1.5,8953,6.5
E06000035,Medway UA,263925,120662,95679,34307,10388,2889,45.7,36.3,13.0,3.9,1.1,13277,5.0
E06000042,Milton Keynes UA,248821,124826,86778,26929,7955,2333,50.2,34.9,10.8,3.2,0.9,10288,4.1000000000000005
E06000044,Portsmouth UA,205056,97795,71443,25464,7995,2359,47.7,34.8,12.4,3.9,1.2,10354,5.1
E06000038,Reading UA,155698,78169,54913,16770,4590,1256,50.2,35.3,10.8,2.9,0.8,5846,3.7
E06000039,Slough UA,140205,67156,50464,16288,4906,1391,47.9,36.0,11.6,3.5,1.0,6297,4.5
E06000045,Southampton UA,236882,112653,82880,29278,9223,2848,47.6,35.0,12.4,3.9,1.2,12071,5.1
E06000037,West Berkshire UA,153822,79432,53069,16456,3818,1047,51.6,34.5,10.7,2.5,0.7,4865,3.2
