year,area_code,area_name,total_16plus_2021,n_active_excl_students_2021,n_in_employment_excl_students_2021,n_unemployed_excl_students_2021,n_active_ft_student_2021,n_active_ft_student_in_employment_2021,n_active_ft_student_unemployed_2021,n_active_total_2021,n_in_employment_total_2021,n_unemployed_total_2021,n_inactive_2021,n_retired_2021,n_student_inactive_2021,n_home_family_2021,n_long_term_sick_disabled_2021,n_inactive_other_2021,pct_active_total_2021,pct_in_employment_total_2021,pct_unemployed_total_2021,pct_inactive_2021,pct_retired_2021,pct_student_inactive_2021,pct_home_family_2021,pct_long_term_sick_disabled_2021,pct_inactive_other_2021
2021,E06000036,Bracknell Forest,99934,67711,65109,2602,1689,1288,401,69400,66397,3003,30534,17976,3870,3843,2293,2552,69.45,66.44,3.0,30.55,17.99,3.87,3.85,2.29,2.55
2021,E06000037,West Berkshire,130737,83451,80680,2771,2059,1628,431,85510,82308,3202,45227,29405,4780,5173,3029,2840,65.41,62.96,2.45,34.59,22.49,3.66,3.96,2.32,2.17
2021,E06000038,Reading,141357,89882,85319,4563,4811,3545,1266,94693,88864,5829,46664,19262,11606,6925,4249,4622,66.99,62.86,4.12,33.01,13.63,8.21,4.9,3.01,3.27
2021,E06000039,Slough,118933,76660,71482,5178,3059,2217,842,79719,73699,6020,39214,13515,7337,9436,3586,5340,67.03,61.97,5.06,32.97,11.36,6.17,7.93,3.02,4.49
2021,E06000040,Windsor and Maidenhead,123676,78369,74982,3387,1727,1320,407,80096,76302,3794,43580,25997,5929,5943,2440,3271,64.76,61.7,3.07,35.24,21.02,4.79,4.81,1.97,2.64
2021,E06000041,Wokingham,140821,90628,87529,3099,2615,1938,677,93243,89467,3776,47578,29831,6752,5844,2437,2714,66.21,63.53,2.68,33.79,21.18,4.79,4.15,1.73,1.93
2021,E06000042,Milton Keynes,224835,145896,138853,7043,5788,4526,1262,151684,143379,8305,73151,37649,10317,10845,7558,6782,67.46,63.77,3.69,32.54,16.75,4.59,4.82,3.36,3.02
2021,E06000043,Brighton and Hove,235365,139720,132371,7349,10405,6918,3487,150125,139289,10836,85240,35982,23218,8464,10400,7176,63.78,59.18,4.6,36.22,15.29,9.86,3.6,4.42,3.05
2021,E06000044,Portsmouth,170818,97606,92586,5020,7770,5199,2571,105376,97785,7591,65442,29280,15884,7818,7099,5361,61.69,57.25,4.44,38.31,17.14,9.3,4.58,4.16,3.14
2021,E06000045,Southampton,204369,118233,112189,6044,8351,6039,2312,126584,118228,8356,77785,31732,21690,9563,8567,6233,61.94,57.85,4.09,38.06,15.53,10.61,4.68,4.19,3.05
2021,E06000046,Isle of Wight,119584,59979,56824,3155,1420,1085,335,61399,57909,3490,58185,39723,3704,4789,6113,3856,51.34,48.43,2.92,48.66,33.22,3.1,4.0,5.11,3.22
2021,E06000047,County Durham,433958,227221,216177,11044,8263,6038,2225,235484,222215,13269,198474,111234,28153,18945,26631,13511,54.26,51.21,3.06,45.74,25.63,6.49,4.37,6.14,3.11
2021,E06000049,Cheshire East,329474,195245,188417,6828,5044,4070,974,200289,192487,7802,129185,87692,11483,11513,10915,7582,60.79,58.42,2.37,39.21,26.62,3.49,3.49,3.31,2.3
2021,E06000050,Cheshire West and Chester,295358,171131,164459,6672,6097,4629,1468,177228,169088,8140,118130,74806,13057,11215,11888,7164,60.0,57.25,2.76,40.0,25.33,4.42,3.8,4.02,2.43
2021,E06000051,Shropshire,272245,155011,149268,5743,3899,3154,745,158910,152422,6488,113335,77553,9687,9814,9574,6707,58.37,55.99,2.38,41.63,28.49,3.56,3.6,3.52,2.46
2021,E06000052,Cornwall,477425,258345,248064,10281,8277,6183,2094,266622,254247,12375,210803,137684,20078,19543,21347,12151,55.85,53.25,2.59,44.15,28.84,4.21,4.09,4.47,2.55
2021,E06000053,Isles of Scilly,1729,1116,1102,14,12,11,1,1128,1113,15,601,462,20,59,23,37,65.24,64.37,0.87,34.76,26.72,1.16,3.41,1.33,2.14
2021,E06000054,Wiltshire,419114,255780,247436,8344,6295,4909,1386,262075,252345,9730,157039,104683,14018,15830,12366,10142,62.53,60.21,2.32,37.47,24.98,3.34,3.78,2.95,2.42
2021,E06000055,Bedford,148118,92580,88412,4168,3231,2453,778,95811,90865,4946,52307,29260,6327,6928,4999,4793,64.69,61.35,3.34,35.31,19.75,4.27,4.68,3.38,3.24
2021,E06000056,Central Bedfordshire,236760,152985,147841,5144,4307,3236,1071,157292,151077,6215,79468,50740,8367,9096,6167,5098,66.44,63.81,2.63,33.56,21.43,3.53,3.84,2.6,2.15
2021,E06000057,Northumberland,268850,145197,138170,7027,3405,2610,795,148602,140780,7822,120248,81177,8490,10331,12235,8015,55.27,52.36,2.91,44.73,30.19,3.16,3.84,4.55,2.98
2021,E06000058,"Bournemouth, Christchurch and Poole",334908,187945,179439,8506,9270,6591,2679,197215,186030,11185,137693,82995,20405,12560,13135,8598,58.89,55.55,3.34,41.11,24.78,6.09,3.75,3.92,2.57
2021,E06000059,Dorset,321900,170185,164286,5899,4496,3491,1005,174681,167777,6904,147219,107446,9712,11610,10596,7855,54.27,52.12,2.14,45.73,33.38,3.02,3.61,3.29,2.44
2021,E06000060,Buckinghamshire,443394,278024,267479,10545,7463,5756,1707,285487,273235,12252,157907,95934,19441,21233,9709,11590,64.39,61.62,2.76,35.61,21.64,4.38,4.79,2.19,2.61
2021,E06000061,North Northamptonshire,289187,181232,174688,6544,5429,4169,1260,186661,178857,7804,102526,62160,9894,11782,11119,7571,64.55,61.85,2.7,35.45,21.49,3.42,4.07,3.84,2.62
2021,E06000062,West Northamptonshire,343503,217286,209093,8193,9095,6903,2192,226381,215996,10385,117122,68969,14698,13293,10425,9737,65.9,62.88,3.02,34.1,20.08,4.28,3.87,3.03,2.83
2021,E07000008,Cambridge,124765,67777,65351,2426,6436,5247,1189,74213,70598,3615,50552,14640,25692,4214,3144,2862,59.48,56.58,2.9,40.52,11.73,20.59,3.38,2.52,2.29
2021,E07000009,East Cambridgeshire,71429,45238,43929,1309,977,766,211,46215,44695,1520,25214,16756,2373,2783,1857,1445,64.7,62.57,2.13,35.3,23.46,3.32,3.9,2.6,2.02
2021,E07000010,Fenland,84835,48342,46315,2027,1050,794,256,49392,47109,2283,35443,22325,2455,4110,3932,2621,58.22,55.53,2.69,41.78,26.32,2.89,4.84,4.63,3.09
2021,E07000011,Huntingdonshire,148261,92522,89551,2971,2328,1840,488,94850,91391,3459,53411,35001,4482,5592,4104,4232,63.98,61.64,2.33,36.02,23.61,3.02,3.77,2.77,2.85
2021,E07000012,South Cambridgeshire,130361,83033,80664,2369,2016,1603,413,85049,82267,2782,45312,29592,5473,4943,2873,2431,65.24,63.11,2.13,34.76,22.7,4.2,3.79,2.2,1.86
2021,E07000026,Allerdale,80510,45104,43507,1597,911,728,183,46015,44235,1780,34495,23271,2311,2917,3837,2159,57.15,54.94,2.21,42.85,28.9,2.87,3.62,4.77,2.68
2021,E07000027,Barrow-in-Furness,55834,31857,30557,1300,835,626,209,32692,31183,1509,23142,14603,1465,2143,3307,1624,58.55,55.85,2.7,41.45,26.15,2.62,3.84,5.92,2.91
2021,E07000028,Carlisle,91343,53544,51658,1886,1728,1292,436,55272,52950,2322,36071,23277,3156,3041,4202,2395,60.51,57.97,2.54,39.49,25.48,3.46,3.33,4.6,2.62
2021,E07000029,Copeland,56009,31305,30084,1221,641,487,154,31946,30571,1375,24063,15578,1547,2181,3088,1669,57.04,54.58,2.45,42.96,27.81,2.76,3.89,5.51,2.98
2021,E07000030,Eden,46635,27547,26779,768,636,556,80,28183,27335,848,18452,13344,1234,1450,1360,1064,60.43,58.61,1.82,39.57,28.61,2.65,3.11,2.92,2.28
2021,E07000031,South Lakeland,89703,50212,48955,1257,1424,1182,242,51636,50137,1499,38067,28738,2725,2296,2246,2062,57.56,55.89,1.67,42.44,32.04,3.04,2.56,2.5,2.3
