year,area_code,area_name,umap1,umap2,umap_cluster,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,pct_bad_or_very_bad,pct_unemployed_of_total,pct_retired,pct_student_inactive,pct_looking_after_home_family,pct_long_term_sick_disabled,pct_other_inactive
2021,E07000128,Wyre,7.312388,4.5146904,1,44.33,33.28,15.48,5.27,1.65,6.92,2.62,32.75,3.49,3.25,4.84,2.35
2021,E07000129,Blaby,3.8283436,1.1303916,4,49.04,34.49,12.28,3.23,0.96,4.2,2.47,24.7,3.43,3.25,2.59,2.07
2021,E07000130,Charnwood,1.9842572,8.010663,3,49.06,34.58,12.15,3.29,0.93,4.22,2.85,22.1,10.9,3.4,3.08,2.27
2021,E07000131,Harborough,3.0072882,1.3027917,4,51.5,33.51,11.28,2.92,0.78,3.7,1.92,25.7,3.88,3.18,2.25,2.42
2021,E07000132,Hinckley and Bosworth,5.267711,1.0954558,4,46.56,35.55,13.17,3.66,1.06,4.72,2.19,26.64,3.23,3.22,3.1,2.11
2021,E07000133,Melton,4.5622616,0.88053906,4,47.82,35.14,13.06,3.13,0.85,3.98,2.1,27.13,3.2,3.66,2.56,2.05
2021,E07000134,North West Leicestershire,5.13559,1.3897548,4,46.97,35.19,13.03,3.74,1.07,4.81,2.37,24.17,4.09,3.68,3.29,2.1
2021,E07000135,Oadby and Wigston,4.497722,2.5473008,4,46.01,35.92,13.27,3.76,1.05,4.8,3.08,24.87,7.02,4.19,3.19,2.61
2021,E07000136,Boston,7.2351475,2.9744418,1,42.19,37.05,14.96,4.53,1.27,5.8,2.83,23.74,3.37,4.17,4.4,3.09
2021,E07000137,East Lindsey,6.8992248,4.747302,1,37.9,35.7,18.24,6.3,1.86,8.17,2.89,34.98,2.82,4.9,5.77,2.86
2021,E07000138,Lincoln,3.168255,7.5458755,3,43.82,36.81,13.91,4.3,1.16,5.46,4.45,16.73,13.12,4.16,4.75,3.14
2021,E07000139,North Kesteven,5.2527957,1.0529225,4,46.28,35.42,13.44,3.82,1.03,4.85,2.13,27.83,3.24,3.57,3.22,1.98
2021,E07000140,South Holland,7.331773,2.9048798,1,41.41,37.72,15.19,4.49,1.19,5.68,2.5,27.35,2.64,4.36,3.63,2.26
2021,E07000141,South Kesteven,5.2702794,1.0931257,4,46.0,35.69,13.54,3.8,0.96,4.77,2.53,27.17,3.33,3.83,3.12,2.22
2021,E07000142,West Lindsey,7.2342677,2.607024,1,43.82,35.92,14.66,4.44,1.16,5.6,2.55,29.81,3.38,4.27,4.42,2.3
2021,E07000143,Breckland,7.33311,2.771364,1,42.56,37.05,14.94,4.32,1.14,5.46,2.38,28.54,2.67,4.15,3.75,2.82
2021,E07000144,Broadland,5.249284,0.83966196,4,45.07,36.44,13.9,3.65,0.94,4.59,2.03,29.92,2.89,3.42,3.15,1.95
2021,E07000145,Great Yarmouth,6.658154,4.692046,1,40.19,35.92,16.64,5.62,1.62,7.25,4.03,27.67,3.5,5.55,6.09,3.42
2021,E07000146,King's Lynn and West Norfolk,7.3587065,2.957724,1,41.74,36.91,15.41,4.6,1.33,5.94,2.47,29.89,2.68,4.43,4.26,2.57
2021,E07000147,North Norfolk,7.3963,3.122811,1,39.35,37.61,17.01,4.68,1.35,6.03,2.2,37.29,2.6,4.19,4.16,2.84
2021,E07000148,Norwich,3.221096,7.5526814,3,43.94,36.29,14.14,4.43,1.21,5.64,4.42,16.68,11.63,4.34,5.17,3.34
