Table QS405EW,,,,,,,,,,,,,,,,,
"2011 Census: Tenure - Households, local authorities in England and Wales",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,
"Constituent Countries; Regions, counties, London boroughs, unitary",,,,,,,,,,,,,,,,,
authorities and districts in England; unitary authorities in Wales,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All households,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area code,Area name,,,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
,,,,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households
,,,,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
,,,,,,,,,,,,,,,,,
E08000032,,,Bradford,"199,296","129,550","58,487","71,063","1,165","29,513","11,729","17,784","36,070","33,135",162,"2,273",500,"2,998"
E08000033,,,Calderdale,"88,621","58,981","27,671","31,310",397,"13,494","4,753","8,741","14,545","13,114",98,"1,141",192,"1,204"
E08000034,,,Kirklees ,"173,525","116,361","55,569","60,792",612,"26,525","20,886","5,639","26,941","24,523",156,"1,971",291,"3,086"
E08000035,,,Leeds,"320,596","186,467","83,385","103,082","1,442","70,377","54,122","16,255","57,456","53,599",265,"2,901",691,"4,854"
E08000036,,,Wakefield,"140,414","89,291","40,766","48,525",650,"33,129","24,136","8,993","16,017","14,383",122,"1,281",231,"1,327"
,,,,,,,,,,,,,,,,,
E12000004,EAST MIDLANDS,,,"1,895,604","1,274,665","621,224","653,441","12,744","300,423","192,049","108,374","282,443","257,017","4,022","17,446","3,958","25,329"
,,,,,,,,,,,,,,,,,
E06000015,,Derby UA,,"102,271","62,765","30,239","32,526",864,"20,250","12,458","7,792","17,193","15,943",75,982,193,"1,199"
E06000016,,Leicester UA,,"123,125","61,170","28,018","33,152",774,"31,270","21,048","10,222","27,999","26,207",198,"1,173",421,"1,912"
E06000018,,Nottingham UA,,"126,131","56,867","25,152","31,715",786,"37,486","26,176","11,310","29,098","27,300",136,"1,303",359,"1,894"
E06000017,,Rutland UA,,"15,002","10,556","5,889","4,667",160,"1,685",369,"1,316","2,333","1,741",301,122,169,268
,,,,,,,,,,,,,,,,,
E10000007,,Derbyshire ,,"332,637","236,049","119,282","116,767","1,463","50,955","34,960","15,995","39,915","36,074",394,"2,920",527,"4,255"
E07000032,,,Amber Valley,"52,596","38,974","20,106","18,868",216,"6,484","2,708","3,776","6,200","5,618",51,441,90,722
E07000033,,,Bolsover,"32,801","21,963","10,691","11,272",92,"5,965","4,922","1,043","4,276","3,871",27,344,34,505
E07000034,,,Chesterfield,"46,796","29,547","15,065","14,482",156,"10,832","9,385","1,447","5,813","5,291",38,411,73,448
E07000035,,,Derbyshire Dales,"30,744","22,269","13,513","8,756",229,"3,736","1,330","2,406","3,860","3,423",86,276,75,650
E07000036,,,Erewash,"48,692","35,290","16,506","18,784",242,"6,335","1,978","4,357","6,265","5,762",31,398,74,560
E07000037,,,High Peak,"38,946","28,059","13,693","14,366",229,"4,945","3,836","1,109","5,231","4,706",37,414,74,482
E07000038,,,North East Derbyshire,"43,070","30,531","16,471","14,060",168,"8,781","7,817",964,"3,183","2,800",33,292,58,407
E07000039,,,South Derbyshire,"38,992","29,416","13,237","16,179",131,"3,877","2,984",893,"5,087","4,603",91,344,49,481
,,,,,,,,,,,,,,,,,
E10000018,,Leicestershire ,,"267,434","202,431","99,100","103,331","2,128","28,017","16,888","11,129","31,932","28,915",390,"2,225",402,"2,926"
E07000129,,,Blaby,"38,686","31,309","14,745","16,564",247,"2,948",721,"2,227","3,876","3,471",38,325,42,306
E07000130,,,Charnwood,"66,516","47,961","23,729","24,232",539,"7,851","5,306","2,545","9,396","8,590",102,590,114,769
E07000131,,,Harborough,"34,898","27,238","13,389","13,849",414,"2,923",481,"2,442","3,922","3,540",57,274,51,401
E07000132,,,Hinckley and Bosworth,"45,377","34,826","16,859","17,967",267,"4,685","3,238","1,447","5,156","4,657",65,364,70,443
E07000133,,,Melton,"21,490","15,498","7,728","7,770",198,"2,402","1,814",588,"3,054","2,738",76,183,57,338
E07000134,,,North West Leicestershire,"39,128","28,360","13,581","14,779",302,"5,598","4,181","1,417","4,411","3,997",35,336,43,457
E07000135,,,Oadby and Wigston,"21,339","17,239","9,069","8,170",161,"1,610","1,147",463,"2,117","1,922",17,153,25,212
,,,,,,,,,,,,,,,,,
