area_code,area_name,total_persons_health,n_very_good,n_good,n_fair,n_bad,n_very_bad,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,n_bad_or_very_bad,pct_bad_or_very_bad,total_persons_econ,n_active_total,n_employee_part_time,n_employee_full_time,n_self_emp_with_employees_part_time,n_self_emp_with_employees_full_time,n_self_emp_without_employees_part_time,n_self_emp_without_employees_full_time,n_unemployed,n_full_time_student_active,n_inactive_total,n_retired,n_student_inactive,n_looking_after_home_family,n_long_term_sick_disabled,n_other_inactive,pct_active_total,pct_employee_part_time,pct_employee_full_time,pct_self_emp_with_employees_part_time,pct_self_emp_with_employees_full_time,pct_self_emp_without_employees_part_time,pct_self_emp_without_employees_full_time,pct_unemployed,pct_full_time_student_active,pct_inactive_total,pct_retired,pct_student_inactive,pct_looking_after_home_family,pct_long_term_sick_disabled,pct_other_inactive,pct_unemployed_of_total
E07000126,South Ribble,109057,52009,37211,14240,4473,1124,47.7,34.1,13.1,4.1,1.0,5597,5.1,80458,58577,11969,35168,238,1389,1552,3500,2421,2340,21881,13286,2677,2136,2803,979,72.8,14.9,43.7,0.3,1.7,1.9,4.4,3.0,2.9,27.2,16.5,3.3,2.7,3.5,1.2,3.009023341370653
E07000127,West Lancashire,110685,52675,36226,14800,5380,1604,47.6,32.7,13.4,4.9,1.4,6984,6.300000000000001,81601,55680,11504,29658,377,1928,1768,3734,3180,3531,25921,13888,4668,2673,3515,1177,68.2,14.1,36.3,0.5,2.4,2.2,4.6,3.9,4.3,31.8,17.0,5.7,3.3,4.3,1.4,3.897011066040857
E07000128,Wyre,107749,46601,36224,17189,5944,1791,43.2,33.6,16.0,5.5,1.7,7735,7.2,77663,51450,11298,26923,342,1945,1974,4094,2464,2410,26213,16467,3010,2247,3443,1046,66.2,14.5,34.7,0.4,2.5,2.5,5.3,3.2,3.1,33.8,21.2,3.9,2.9,4.4,1.3,3.172681972110272
E08000011,Knowsley,145893,67153,43505,21420,10631,3184,46.0,29.8,14.7,7.3,2.2,13815,9.5,106155,69617,15173,38065,208,1083,1386,3541,6926,3235,36538,14415,5127,4822,9333,2841,65.6,14.3,35.9,0.2,1.0,1.3,3.3,6.5,3.0,34.4,13.6,4.8,4.5,8.8,2.7,6.524421835994536
E08000012,Liverpool,466415,217977,142132,65422,31162,9722,46.7,30.5,14.0,6.7,2.1,40884,8.8,356876,226270,44816,116778,865,4092,4825,10894,23980,20020,130606,41070,36781,13683,28453,10619,63.4,12.6,32.7,0.2,1.1,1.4,3.1,6.7,5.6,36.6,11.5,10.3,3.8,8.0,3.0,6.719420751185286
E08000014,Sefton,273790,124069,89115,40620,15549,4437,45.3,32.5,14.8,5.7,1.6,19986,7.300000000000001,198197,133012,29799,71019,638,3430,3995,8204,9708,6219,65185,34329,8676,6705,11612,3863,67.1,15.0,35.8,0.3,1.7,2.0,4.1,4.9,3.1,32.9,17.3,4.4,3.4,5.9,1.9,4.8981568843120735
E08000013,St. Helens,175308,78620,55983,26198,11364,3143,44.8,31.9,14.9,6.5,1.8,14507,8.3,129584,86121,18169,49968,330,1679,1766,4246,6640,3323,43463,22144,5294,4971,8638,2416,66.5,14.0,38.6,0.3,1.3,1.4,3.3,5.1,2.6,33.5,17.1,4.1,3.8,6.7,1.9,5.124089393752315
E08000015,Wirral,319783,148028,102085,45687,18448,5535,46.3,31.9,14.3,5.8,1.7,23983,7.5,230851,153240,34513,83696,725,3839,4424,8346,11939,5758,77611,38761,10491,9046,14724,4589,66.4,15.0,36.3,0.3,1.7,1.9,3.6,5.2,2.5,33.6,16.8,4.5,3.9,6.4,2.0,5.171734148866585
E06000011,East Riding of Yorkshire UA,334179,151003,116859,48307,13877,4133,45.2,35.0,14.5,4.2,1.2,18010,5.4,245594,168860,37856,90761,1087,6040,5863,11844,8795,6614,76734,47790,9149,7849,7720,4226,68.8,15.4,37.0,0.4,2.5,2.4,4.8,3.6,2.7,31.2,19.5,3.7,3.2,3.1,1.7,3.5811135451191807
E06000010,"Kingston upon Hull, City of UA",256406,110555,89572,38102,14047,4130,43.1,34.9,14.9,5.5,1.6,18177,7.1,190610,128130,28041,68035,418,1808,2352,5236,15296,6944,62480,23025,13243,9482,11524,5206,67.2,14.7,35.7,0.2,0.9,1.2,2.7,8.0,3.6,32.8,12.1,6.9,5.0,6.0,2.7,8.0247626042705
